song_name,song_id,artist,track_preview,track_img
Love The People You Love,1smy4YggjOxVHjpSVdebG1,Charlie Brown,https://p.scdn.co/mp3-preview/9a641658aec5034e2728796fe86cde628a215b2b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e023686f1c7fe5802dec40510fb
Cindy,6IVdvbSehAVvo5Nh1OBwe5,Charlie Brown,https://p.scdn.co/mp3-preview/e97f7c85180ff294a971f34511e80e7a9324198e?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02538bfbe62bd778c5599ed4dd
Little Bit of Rain,0xGzR4qbXTOVFfdwPaEWlk,Charlie Brown,https://p.scdn.co/mp3-preview/6ffa2130a6a9df1cfb862a3b86bb61723c25575b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02538bfbe62bd778c5599ed4dd
Geir På Tinder,4GgdvqotqEbnYe9ZyzNwSp,Offentlig Sektor,https://p.scdn.co/mp3-preview/41745ee0e9af0f2fb9e25dcace1f53b005187282?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02216372ae6a9cfd19ff370406
Heading Out,2v6AWRzhAsy61rBNBqzEna,Charlie Brown,https://p.scdn.co/mp3-preview/8bd0bb10aa9c6eb87709b9f92c3cc663e178dca9?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02f80c8b35c679cbf5523e8684
Morenito feat Clémentine - Bossa Mix,7vmJjnGoCmQ4F5exuVkhbH,Stéphane Pompougnac,https://p.scdn.co/mp3-preview/8bd52080c261a5d05578435f242fa0aa2e34ce78?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e025e77750dd4ba95bd2cd0538b
Spellær Ballær Kakse,6DdP946gMNYsg0tytx18eR,Smeke Reven,https://p.scdn.co/mp3-preview/9d2132efafcf3d90c7fcfa326c8fff21ab94caaa?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0285ecf00a6a3f1f8ddad0a70c
Outlines,5z2rVQwOTpIwgqiNHCm3AK,Mike Mago,https://p.scdn.co/mp3-preview/6502bce6680a188629e3b5c3141aba75850c6472?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0246564ddb0c7a4d2bb0dae189
Do or Die,3dYXmVqZiMTdC0p2dTKTIp,EBEN,https://p.scdn.co/mp3-preview/f11b5ac3501eaf1270f393cdb1b6868dfb4d5adc?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02c5b4b013727731b00dfb3eaf
Sideways,1Z0E78CL3U7TRZtakCJsde,EBEN,https://p.scdn.co/mp3-preview/7f859204c0da88c921cf3e2c6803f6d036f3f22c?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02c5b4b013727731b00dfb3eaf
Lost In You,6Vt7uW6si5LtF1g7qujhXu,Jai Waetford,https://p.scdn.co/mp3-preview/701a8146dfb2ae69a43fd7230f35e466e782b08d?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ecf9df3bb628367fb1033f3a
Cosmogony,33RjAmb18LXGsepgHgt3Qn,Aeternam,https://p.scdn.co/mp3-preview/0a832537870f098def7388c4991b2f358023e999?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e020c596ccd727b8dd124066d44
Skinny Genes - Unplugged,6j7pV19r7AlDT6OllWlGh6,Eliza Doolittle,https://p.scdn.co/mp3-preview/048619614d1461aad98971caf30e8daf90885f33?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02784d9548a08c11cdbac75c41
In Old Yellowcake,0AtF2aeEGOBbxTO7Cu6eV8,Rasputina,https://p.scdn.co/mp3-preview/d8396b8000276e3f5e85f51cf2eae0d9ac8ff583?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e027276a4d30628637e96a615c2
Love Me,799OIC2RzK8um8Th2w9myo,Kay Cook,https://p.scdn.co/mp3-preview/f543c30193337f6e3fd3a1802db8ea6b729e3319?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ef4b56011d7b563ba4bf40d5
Sign of the Zodiac,418zOsoHsqwLJEJ2zBkgCG,Rasputina,https://p.scdn.co/mp3-preview/51b45ecfab749649bca6e5e59bbb41200bd3644e?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02e7c24983446a43cd69a58c8d
Young Wolves,3vn7RYXYoyHAPAyOHiEJ9e,Racoon Racoon,https://p.scdn.co/mp3-preview/ceea4e08b31da18b7f01e1ce16d813070840678b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e022b3a9daf566e40b20a797909
Some Other Place & Time,5IdXubcDLuj0xqm79RTTwX,Jonah Marais,https://p.scdn.co/mp3-preview/2f42a12696a7080e29cf96254a1925a39be1cf84?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e025e692d5800b6343239f26bba
Ingenting,6XpNENXl1Axyn9R0PayT7x,Sondre Justad,https://p.scdn.co/mp3-preview/277de789a4acdfd8deff857a950bfb12b5c073a6?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ffe69e5303263fabc467cfe3
Blue,0PGG2r9vGUgRCkLHW6BdbV,Fjord,https://p.scdn.co/mp3-preview/5786a2a8e7c765b51049b4b3afb13ca0c2564b84?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0289d90546c166c75b5b22d5b8
Little Boy in the Grass,5b5pwytfOw2jMkCNjmSrul,AURORA,https://p.scdn.co/mp3-preview/4016203b405d95aeaf390ab25b100a04590f5889?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e024c19bb02d5d238931ecc3a60
La Bonne Attitude,3qui9azjjFN4uKPT3Mm4Lt,Dela,https://p.scdn.co/mp3-preview/b31b76533a1010f6b8e93a9ad24747d3cc948ad7?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02f3207a51fd1efb12f73dd537
Lisboa Mulata,53rF0hPSBHd1Q44hcWkDEW,Dead Combo,https://p.scdn.co/mp3-preview/c80368b16f33cc0596772786a1025fd5693a6089?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0286e337a0f0c88ab88d898cbc
Just One Dance,2HSEXxOWGrmkUDa1ftt6iQ,Various Artists,https://p.scdn.co/mp3-preview/1680dce67e1cc836b11d47db1132b962d7cf06dd?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ac7559bbaac4dcc88ce30980
Ikea,3YlkEc9QQOAdMf4kecOA8b,Jonathan Coulton,https://p.scdn.co/mp3-preview/04864c93377969997d459ef12a3becc5a7c7586a?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02a422d871dbfd354dede7e0e4
Timelapse,0QwruOc9kmaurgj3l9yuyk,Zach Herron,https://p.scdn.co/mp3-preview/97316145ec267e472e6262e347665754c0017b57?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0274b03e3275490480cb64f09e
Something More - Andrelli Remix,6dEuww75OLunArThrnt0Vs,Luke Potter,https://p.scdn.co/mp3-preview/106c2dc9bce001cdde5405f053001c0058b3328d?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02f51711785a33130faf6ec0ce
"1816, The Year Without a Summer",7zrddvfYcTacnpBuEJprRo,Rasputina,https://p.scdn.co/mp3-preview/3265d618e4874a836b3b3ec6350e2a4cb6ca7287?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e027276a4d30628637e96a615c2
This Is Us Colliding,1zUbVMC5kGznDqGDZq1MQa,Talos,https://p.scdn.co/mp3-preview/5ac796e27a7d08d5583cd3c1a66b882168186c21?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02d87e8974e63d8abcc1ffc5f1
Out of Order,6mbSr707T5mXS9pw7F3ahZ,Highasakite,https://p.scdn.co/mp3-preview/4b671fc2faaafcadae7a143f6f94f72d9d45c220?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ba481fe3ba136d06081d18dd
Stay Off My Mind,3EIloISJJFMs88jSmvOSMa,Skott,https://p.scdn.co/mp3-preview/4278e348500e701c1eb0fb86831a2e2bb1036159?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02dd4afc02001456a609ddf39c
Pennsylvania 6-5000,6KBMXvbMnhCzuTabTXIVxu,Glenn Miller,https://p.scdn.co/mp3-preview/dd1c4c8d31bd699682cc958a0552fa948fbe9d00?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02a3644583af503ce72dfa4673
Is It A Crime - Album Mix,2WCkVQcnzUUmrQ0ZOPRGVB,The Moleskins,https://p.scdn.co/mp3-preview/35024c98129d3a57e941d9b9dd3e37635376e26e?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0237c993ea87c425543ac9b161
Fake Denim,2qCmiYH5ol3nSo7SGUcdAM,Quinn XCII,https://p.scdn.co/mp3-preview/014002c6b202c2bc538b2a1614aa4aa222750d2d?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02fd61901328e049ff1f5b2f7f
