song_name,song_id,artist,track_preview,track_img
...Ready For It?,7zgqtptZvhf8GEmdsM2vp2,Taylor Swift,,https://i.scdn.co/image/ab67616d00001e024322e9bd7d57d061d0e19e1f
The Other Side Of Paradise,3aTrurxagDJfsQRBEOGfMb,Glass Animals,,https://i.scdn.co/image/ab67616d00001e02f8aa1d411dcb12d714a797a8
Lemonade - Edit,31rmLSgoQ9xFS35ZJ29MRb,CocoRosie,,https://i.scdn.co/image/ab67616d00001e0232f78ff6799f25c55be43910
Why'd You Only Call Me When You're High?,2v8X6L6j0kbUPXDZwtXvXU,Arctic Monkeys,,https://i.scdn.co/image/ab67616d00001e024f669de38690faf2cf88c245
Moses,7a0TQDgcnMCBL64jckgJLC,Elizabeth Fraser,,https://i.scdn.co/image/ab67616d00001e021660423201e773b577fbeb12
Naked,0K8R1ZZcreZ3iKbfRzbZg1,X Ambassadors,,https://i.scdn.co/image/ab67616d00001e0298a59f12f67b364e2144a265
Epiphany,7L8hkKW4hnemNfuOfEZcle,BTS,,https://i.scdn.co/image/ab67616d00001e026feb6d9ed7891f40e9a524dd
Black Is The Color Of My True Love's Hair - Jaffa Remix,7aXIEpFnkQKVloLPx6nalb,Various Artists,,https://i.scdn.co/image/ab67616d00001e025916776b0acef18fb9dc759f
Serendipity (Full Length Edition),5cQB9fbuQCz4muQUFkv3rR,BTS,,https://i.scdn.co/image/ab67616d00001e026feb6d9ed7891f40e9a524dd
I WILL SURVIVE,0x4GSz5C4XZDkNhFswGboC,Various Artists,,https://i.scdn.co/image/ab67616d00001e029114f59c948b2f68146b74f0
Loud Places,2sZtaJ4RFbRAAOBKWEeR4H,Jamie xx,,https://i.scdn.co/image/ab67616d00001e0265adb63d8424cf779ef0876d
The Whispering Wind,3UDsgxCJlSFLBkLIqPIdqU,Moby,,https://i.scdn.co/image/ab67616d00001e0240fb5b3c1b2cedcccce41b97
Mr. Blue Sky,74z2lfZ7fj3IqoK71lHkZw,Electric Light Orchestra,,https://i.scdn.co/image/ab67616d00001e02f5c4e59e9c4cdba319752a6e
Homesick,0WeqauIUZSjsupDGXsXWsP,Kings of Convenience,,https://i.scdn.co/image/ab67616d00001e02d71c263a42991967290401af
Fine,2ZZORIh29EZONUETNOD83m,GOT7,,https://i.scdn.co/image/ab67616d00001e02d8ef4def05025c10a2c32a2f
Heart-Shaped Box,6EvgWSbWmQelxrQBmhEdXh,Nirvana,,https://i.scdn.co/image/ab67616d00001e02f118d2074e050cbc2e4533a0
Parallel Lives - Acoustic,3ouWhWu7fgGOeXxypu8U6k,Comme des Frères Musique Originale du Film,,https://i.scdn.co/image/ab67616d00001e028b7e429ef5a1498b384ff13b
There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,Lauv,,https://i.scdn.co/image/ab67616d00001e02b67fed8dfcaac831401be9bf
Shine On You Crazy Diamond (Parts 1-8) - Live,7EvgVYveQrg7aQexZgYmiH,Roger Waters,,https://i.scdn.co/image/ab67616d00001e020895bac241d27da5929fd9de
September,4N30D7CKs0DM0zwjnhU9mr,Gabrielle,,https://i.scdn.co/image/ab67616d00001e025d3a0f50868e1ad35a70db27
Amerimacka,2jvuf7h454hjB2vIFhDn3o,Thievery Corporation,,https://i.scdn.co/image/ab67616d00001e0289dea61b04acbd044a41787e
Bumpy Ride,0tBRo4P60DgKmg4jt48upm,Mohombi,,https://i.scdn.co/image/ab67616d00001e02fcbf1271e74950046139cd8b
Sold Out Dates (feat. Lil Baby),72LlwJM24dWKpFLVB3PWWQ,Gunna,,https://i.scdn.co/image/ab67616d00001e020c8a3b7c8d4a8bc1a1b4e722
Know You Now,6iWqDBhlLaFd51ovf2rTRt,Amy Winehouse,,https://i.scdn.co/image/ab67616d00001e0247b5c07cda602f3c039c0ac3
See-Line Woman,42lOtoOmae4p2AAxADtTV1,Nina Simone,,https://i.scdn.co/image/ab67616d00001e0250f688856a764c79b810e2cf
My Baby Just Cares For Me,2n845ZaLOgpNJ3RinFwE1W,Nina Simone,,https://i.scdn.co/image/ab67616d00001e020de29ce19ea07c2b67b01e3f
Don't Let Go,6laPV7tMFYV8atJF5fXsgx,Lila,,https://i.scdn.co/image/ab67616d00001e022745686a054db9a7756fe409
Of The Night,4yFEz5j53bnYoavrMqJY6i,Bastille,,https://i.scdn.co/image/ab67616d00001e02ea31b7b318e504c083d44346
With Arms Wide Open,6yagwOP4hNv70YC4pIKUPx,Creed,,https://i.scdn.co/image/ab67616d00001e021e792c9c9def609333ba1c9a
We Could Go Back,2PJ55QsqjSVwN2esqfMDFu,Jonas Blue,,https://i.scdn.co/image/ab67616d00001e0241acb292d0daebf9d7d293fd
Kings And Queens Of Summer,5t8OPbUoBQJsoJjExghUHj,Matstubs,,https://i.scdn.co/image/ab67616d00001e02c34b4d7282a0a35e8cefeb7d
Groove Is in the Heart,2UVLuddklEVak5PXgC7baA,Deee-Lite,,https://i.scdn.co/image/ab67616d00001e029a78755d6cdef8bdd15b39bf
Deceptively Yours - DJ Strobe 7 Below Zero Remix,1y5Oft6hjMImtGC0KhJcTh,The Peter Malick Group,,https://i.scdn.co/image/ab67616d00001e0247dec5f16443ad53fdc0e02e
"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remastered Version",2dWCp5vcNwSy25zRVFGC5t,Pink Floyd,,https://i.scdn.co/image/ab67616d00001e02502bbf975cb8d7537f206780
Comedown,7yX8ayPTlR5kjECfCyS7ZN,Bush,,https://i.scdn.co/image/ab67616d00001e02311e95980a19ba2821a5d06e
Let You Down,6mrKP2jyIQmM0rw6fQryjr,NF,,https://i.scdn.co/image/ab67616d00001e0239e85b6ae069d1e25bbc89df
I Knew You Were Trouble,6RjKVXi31fui9m4dbiGRrL,Taylor Swift,,https://i.scdn.co/image/ab67616d00001e027d2f918a1b23f98ceb7510fa
for you,5hgX8pSZSOcKhsvzldsgWy,jhfly,,https://i.scdn.co/image/ab67616d00001e02bff843f9a6405ce8ae7fad16
They Don't Know About Us,72C7aUQECOhNtnD0AC36ua,One Direction,,https://i.scdn.co/image/ab67616d00001e02ddacff8ec2f8f34ed56957cf
The Bird,2xzHM5HxH8V7f4tIK79h0L,SYML,,https://i.scdn.co/image/ab67616d00001e024e7da89a06b0c649b0740339
All The Time,0sFvItEeMstcUyZCleYgyj,Jeremih,,https://i.scdn.co/image/ab67616d00001e0273b4a9307c49a5eedcd54133
High By The Beach,35WhawODuOs0kaHxwmPA9D,Lana Del Rey,,https://i.scdn.co/image/ab67616d00001e02c8df94781bfb37742c00f4f1
Flashing Lights,0ua0Go4NN4Td7l0Zre6Ce3,Kanye West,,https://i.scdn.co/image/ab67616d00001e02675561f3defd1d5a551936a8
Hvite menn som pusher 50,7vKmrZGW8opHdJVZbyCe1i,Karpe,,https://i.scdn.co/image/ab67616d00001e0266a1c0cd4bdcb46afe624c44
We Owned The Night,7nvmiDtfh9gwYFh9Kzn7sc,Lady A,,https://i.scdn.co/image/ab67616d00001e02a13babb8e78be20f94d69299
Night Train,3qn7FzYkDLJBbOnRwSsDWV,Jason Aldean,,https://i.scdn.co/image/ab67616d00001e026d18b0052a1deda980518008
Thank God I'm a Country Boy,1GppOc3LMBYanYagzCQCci,John Denver,,https://i.scdn.co/image/ab67616d00001e02aa3e832b643a1813204f8fa5
I Believe I Can Fly,0AIfr4oi192dWLRJZrRz1O,R. Kelly,,https://i.scdn.co/image/ab67616d00001e022335b99cb50f810a58147bd0
Memories,1luNGK524Xqr0bT4knZeHV,The Midnight,,https://i.scdn.co/image/ab67616d00001e02ab574f78b1a57e3abc93e535
Jason (feat. Nikki Flores),4jEy6jXHWcOKXsVfIV5lR2,The Midnight,,https://i.scdn.co/image/ab67616d00001e02ab574f78b1a57e3abc93e535
Wake Up This Day,2eGFixlUmSK3Yei80riTVe,Tom Misch,,https://i.scdn.co/image/ab67616d00001e0204673b3ef017a7581b96e42f
Walk On Water,5UMD1Iz7yyVK8Q5FLsVt3q,Thirty Seconds To Mars,,https://i.scdn.co/image/ab67616d00001e021a909dd5d735c8edcd3cba6f
imagine if,12gnUTEnxL6PYN06RX2Je1,gnash,,https://i.scdn.co/image/ab67616d00001e02d74cfa770ecdd9e05eb03af5
Words,6tvd5KHgUKvBvZWuT9OZe4,Various Artists,,https://i.scdn.co/image/ab67616d00001e020db3901606954f424070ff01
Layla,4qbPYIqTwAf5OIzrRLQ49q,Duane Allman,,https://i.scdn.co/image/ab67616d00001e020d391875715011021f24c2c9
Ramblin' Man,2Q7LpkYrS0PBpoq3iCqypa,Allman Brothers Band,,https://i.scdn.co/image/ab67616d00001e02477680eb32457ae31c904de6
Month Of May,3Er1wNuejABz1cau68q6Qd,Arcade Fire,,https://i.scdn.co/image/ab67616d00001e02575a1a86fdde8dfb1be3b787
Never Let Me Down Again,6mGduLfvfVOimuxfRvTdR0,Depeche Mode,,https://i.scdn.co/image/ab67616d00001e025e763da183cd056df8b98907
Runaways,2K06amHdw8ZPWI75Xvo9Ij,Sam Feldt,,https://i.scdn.co/image/ab67616d00001e02269d7e60326d70237c5c5ff5
